Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1633690034,10,GET,get_card,0.500000,0.000000,60,88,160,160,160,160,160,160,160,160,160,3,0,88,102.56396666666667,60.47099999999972,159.27480000000037,17.0
1633690034,10,GET,get_cart,9.166667,0.000000,100,140,210,220,1400,1500,1500,1600,1600,1600,1600,77,0,140.0,303.40636363636366,16.243299999999294,1592.6657,20.74025974025974
1633690034,10,GET,get_catalogue1,5.666667,0.000000,93,110,210,270,270,280,350,350,350,350,350,42,0,110.0,140.07113333333334,10.184399999999982,349.2855000000001,1643.0
1633690034,10,GET,get_catalogue2,1.833333,0.000000,100,110,190,230,230,230,230,230,230,230,230,15,0,110.0,125.83651333333361,18.851299999999682,232.6195000000002,22.0
1633690034,10,GET,get_catalogue3,1.666667,0.000000,60,89,120,130,130,140,140,140,140,140,140,15,0,89,88.79427999999987,43.68349999999932,142.5862999999996,1927.0
1633690034,10,GET,get_category,1.833333,0.000000,28,45,49,55,55,56,56,56,56,56,56,15,0,45,41.28908000000006,24.644299999999397,56.292900000000756,11518.0
1633690034,10,GET,get_customer,3.333333,0.000000,64,89,140,140,150,230,230,230,230,230,230,35,0,89,102.08294285714281,18.515999999999977,226.49929999999952,221.5142857142857
1633690034,10,GET,get_customer_orders,0.500000,0.000000,17,53,59,59,61,61,61,61,61,61,61,6,0,49,41.89751666666671,12.792700000000323,61.11099999999947,6368.0
1633690034,10,GET,get_detail,1.666667,0.000000,14,33,77,77,89,90,90,90,90,90,90,16,0,20,40.96625000000004,6.869100000000294,89.52980000000022,10364.0
1633690034,10,GET,get_index,5.166667,0.000000,30,51,59,59,88,100,110,110,110,110,110,39,0,51,48.98816923076915,6.969599999999687,108.6453999999999,8688.0
1633690034,10,GET,get_item,2.500000,0.000000,92,110,140,140,150,180,210,210,210,210,210,26,0,100.0,109.42346923076909,13.1736999999994,212.9588999999994,286.0
1633690034,10,GET,get_orders,0.000000,0.000000,490,1800,4900,4900,5000,5000,5000,5000,5000,5000,5000,8,0,1800.0,2033.0917000000002,276.5544999999996,4990.545300000001,2.0
1633690034,10,GET,get_related,1.666667,0.000000,39,69,240,240,250,330,330,330,330,330,330,14,0,69,111.38200714285712,10.003100000000487,327.04060000000015,760.0
1633690034,10,GET,get_tags,1.666667,0.000000,130,140,160,170,170,170,170,170,170,170,170,15,0,140.0,142.58136666666672,68.7072999999998,173.8748000000001,107.0
1633690034,10,GET,login,1.000000,0.000000,340,350,360,360,370,370,370,370,370,370,370,6,0,350.0,352.9765666666667,341.75230000000045,369.6183000000004,13.0
1633690034,10,,Aggregated,39.666667,0.000000,52,100,150,180,270,360,1500,1800,5000,5000,5000,341,0,100.0,193.33422756598216,6.869100000000294,4990.545300000001,2677.302052785924
1633690035,10,POST,add_item_to_cart,0.428571,0.000000,190,190,340,340,340,340,340,340,340,340,340,3,0,190.0,238.78863333333348,189.5648000000003,336.5229000000003,0.0
1633690035,10,GET,get_address,0.428571,0.000000,100,110,160,160,160,160,160,160,160,160,160,3,0,110.0,123.44953333333326,103.0951,156.67149999999987,283.0
1633690035,10,GET,get_basket,0.428571,0.000000,39,43,50,50,50,50,50,50,50,50,50,3,0,43,44.17699999999976,39.29059999999929,50.17359999999993,23020.0
1633690035,10,GET,get_card,0.428571,0.000000,60,88,160,160,160,160,160,160,160,160,160,3,0,88,102.56396666666667,60.47099999999972,159.27480000000037,17.0
1633690035,10,GET,get_cart,8.857143,0.000000,72,140,200,210,1400,1500,1500,1600,1600,1600,1600,88,0,140.0,271.7925454545455,13.757299999999972,1592.6657,25.96590909090909
1633690035,10,GET,get_catalogue1,4.857143,0.000000,26,110,200,260,270,280,350,350,350,350,350,46,0,110.0,128.8556673913044,9.64570000000009,349.2855000000001,1643.0
1633690035,10,GET,get_catalogue2,1.571429,0.000000,100,110,190,230,230,230,230,230,230,230,230,15,0,110.0,125.83651333333361,18.851299999999682,232.6195000000002,22.0
1633690035,10,GET,get_catalogue3,1.571429,0.000000,60,89,120,130,130,140,140,140,140,140,140,15,0,89,88.79427999999987,43.68349999999932,142.5862999999996,1927.0
1633690035,10,GET,get_category,1.571429,0.000000,28,45,49,55,55,56,56,56,56,56,56,15,0,45,41.28908000000006,24.644299999999397,56.292900000000756,11518.0
1633690035,10,GET,get_customer,4.000000,0.000000,60,88,140,140,150,170,230,230,230,230,230,42,0,87,94.02102142857146,9.96629999999854,226.49929999999952,212.85714285714286
1633690035,10,GET,get_customer_orders,0.428571,0.000000,13,49,59,59,61,61,61,61,61,61,61,8,0,17,32.95368750000005,6.044300000001002,61.11099999999947,6368.0
1633690035,10,GET,get_detail,2.000000,0.000000,14,33,77,79,89,90,90,90,90,90,90,18,0,20,41.57562222222226,6.869100000000294,89.52980000000022,10364.0
1633690035,10,GET,get_index,4.428571,0.000000,19,49,58,59,78,98,110,110,110,110,110,45,0,49,43.39697555555541,6.218299999998678,108.6453999999999,8688.0
1633690035,10,GET,get_item,2.857143,0.000000,88,100,140,140,150,180,210,210,210,210,210,30,0,100.0,103.77460666666651,10.965900000000417,212.9588999999994,286.0
1633690035,10,GET,get_orders,0.000000,0.000000,490,1800,4900,5000,5800,5800,5800,5800,5800,5800,5800,9,0,1800.0,2451.1423000000004,276.5544999999996,5795.547100000002,2.0
1633690035,10,GET,get_related,2.000000,0.000000,25,69,100,240,250,330,330,330,330,330,330,18,0,69,98.22680555555559,10.003100000000487,327.04060000000015,760.0
1633690035,10,GET,get_tags,1.571429,0.000000,130,140,160,170,170,170,170,170,170,170,170,15,0,140.0,142.58136666666672,68.7072999999998,173.8748000000001,107.0
1633690035,10,GET,login,0.857143,0.000000,340,350,360,360,370,370,370,370,370,370,370,8,0,340.0,275.80067499999996,25.194400000000172,369.6183000000004,13.0
1633690035,10,,Aggregated,38.285714,0.000000,48,95,150,160,240,350,1500,1800,5800,5800,5800,384,0,95,191.17527343749975,6.044300000001002,5795.547100000002,2633.3619791666665
1633690036,10,POST,add_item_to_cart,0.375000,0.000000,190,190,340,340,340,340,340,340,340,340,340,3,0,190.0,238.78863333333348,189.5648000000003,336.5229000000003,0.0
1633690036,10,GET,get_address,0.375000,0.000000,100,110,160,160,160,160,160,160,160,160,160,3,0,110.0,123.44953333333326,103.0951,156.67149999999987,283.0
1633690036,10,GET,get_basket,0.375000,0.000000,39,43,50,50,50,50,50,50,50,50,50,3,0,43,44.17699999999976,39.29059999999929,50.17359999999993,23020.0
1633690036,10,GET,get_card,0.375000,0.000000,60,88,160,160,160,160,160,160,160,160,160,3,0,88,102.56396666666667,60.47099999999972,159.27480000000037,17.0
1633690036,10,GET,get_cart,9.125000,0.000000,79,140,170,200,240,1400,1500,1500,1600,1600,1600,108,0,140.0,244.8959833333334,13.757299999999972,1592.6657,32.833333333333336
1633690036,10,GET,get_catalogue1,5.250000,0.000000,25,110,130,180,270,270,280,350,350,350,350,65,0,110.0,111.80253692307701,9.64570000000009,349.2855000000001,1643.0
1633690036,10,GET,get_catalogue2,1.750000,0.000000,100,110,140,180,230,230,230,230,230,230,230,21,0,110.0,113.38931428571446,18.84899999999945,232.6195000000002,22.0
1633690036,10,GET,get_catalogue3,1.625000,0.000000,60,89,120,120,130,140,140,140,140,140,140,16,0,82,86.67499374999987,43.68349999999932,142.5862999999996,1927.0
1633690036,10,GET,get_category,1.750000,0.000000,36,48,51,55,56,80,100,100,100,100,100,21,0,48,46.94790476190484,24.644299999999397,99.89030000000021,11518.0
1633690036,10,GET,get_customer,3.750000,0.000000,60,88,140,140,150,170,230,230,230,230,230,44,0,87,92.77078409090913,9.96629999999854,226.49929999999952,220.72727272727272
1633690036,10,GET,get_customer_orders,0.750000,0.000000,13,49,59,59,61,61,61,61,61,61,61,8,0,17,32.95368750000005,6.044300000001002,61.11099999999947,6368.0
1633690036,10,GET,get_detail,1.750000,0.000000,14,33,77,79,89,90,90,90,90,90,90,18,0,20,41.57562222222226,6.869100000000294,89.52980000000022,10364.0
1633690036,10,GET,get_index,4.875000,0.000000,19,49,59,59,79,88,100,110,110,110,110,62,0,48,42.958240322580565,6.218299999998678,108.6453999999999,8688.0
1633690036,10,GET,get_item,2.750000,0.000000,72,100,140,140,150,180,210,210,210,210,210,32,0,100.0,101.70654999999981,10.965900000000417,212.9588999999994,286.0
1633690036,10,GET,get_orders,0.750000,0.000000,280,1800,4900,4900,5000,5800,5800,5800,5800,5800,5800,11,0,1800.0,2038.9333454545456,166.47109999999898,5795.547100000002,2.0
1633690036,10,GET,get_related,1.750000,0.000000,25,69,100,240,250,330,330,330,330,330,330,18,0,69,98.22680555555559,10.003100000000487,327.04060000000015,760.0
1633690036,10,GET,get_tags,1.625000,0.000000,130,140,160,160,170,170,170,170,170,170,170,17,0,140.0,137.30085882352944,56.459600000000165,173.8748000000001,107.0
1633690036,10,GET,login,0.750000,0.000000,96,340,350,350,360,370,370,370,370,370,370,12,0,140.0,223.24455000000015,25.194400000000172,369.6183000000004,13.0
1633690036,10,,Aggregated,39.750000,0.000000,48,93,140,150,230,340,1500,1800,5800,5800,5800,465,0,93,172.51198752688157,6.044300000001002,5795.547100000002,2718.636559139785
1633690037,10,POST,add_item_to_cart,0.333333,0.000000,190,190,340,340,340,340,340,340,340,340,340,3,0,190.0,238.78863333333348,189.5648000000003,336.5229000000003,0.0
1633690037,10,GET,get_address,0.333333,0.000000,100,110,160,160,160,160,160,160,160,160,160,3,0,110.0,123.44953333333326,103.0951,156.67149999999987,283.0
1633690037,10,GET,get_basket,0.333333,0.000000,39,43,50,50,50,50,50,50,50,50,50,3,0,43,44.17699999999976,39.29059999999929,50.17359999999993,23020.0
1633690037,10,GET,get_card,0.333333,0.000000,60,88,160,160,160,160,160,160,160,160,160,3,0,88,102.56396666666667,60.47099999999972,159.27480000000037,17.0
1633690037,10,GET,get_cart,9.444444,0.000000,85,140,170,210,240,1400,1500,1500,1600,1600,1600,125,0,140.0,232.15049199999996,13.757299999999972,1592.6657,37.52
1633690037,10,GET,get_catalogue1,4.888889,0.000000,25,110,130,180,270,270,280,350,350,350,350,69,0,110.0,110.29956811594215,9.64570000000009,349.2855000000001,1643.0
1633690037,10,GET,get_catalogue2,1.666667,0.000000,100,110,140,180,230,230,230,230,230,230,230,22,0,110.0,113.76433636363655,18.84899999999945,232.6195000000002,22.0
1633690037,10,GET,get_catalogue3,1.666667,0.000000,55,82,99,120,130,140,140,140,140,140,140,22,0,80,84.44015454545443,43.68349999999932,142.5862999999996,1927.0
1633690037,10,GET,get_category,1.666667,0.000000,31,48,51,55,56,80,100,100,100,100,100,22,0,47,46.08859090909092,24.644299999999397,99.89030000000021,11518.0
1633690037,10,GET,get_customer,4.666667,0.000000,64,110,140,140,150,230,230,270,270,270,270,58,0,100.0,104.63218620689655,9.96629999999854,267.6429000000002,218.82758620689654
1633690037,10,GET,get_customer_orders,0.666667,0.000000,13,37,53,59,61,61,61,61,61,61,61,9,0,37,33.39633333333344,6.044300000001002,61.11099999999947,6368.0
1633690037,10,GET,get_detail,2.000000,0.000000,14,42,79,89,92,140,140,140,140,140,140,25,0,42,50.742295999999904,6.869100000000294,136.21639999999857,10364.0
1633690037,10,GET,get_index,4.555556,0.000000,19,49,59,62,83,98,110,170,170,170,170,66,0,49,45.58633636363627,6.218299999998678,173.7510999999987,8688.0
1633690037,10,GET,get_item,3.333333,0.000000,92,110,140,150,160,210,250,250,250,250,250,40,0,100.0,109.22584999999988,10.965900000000417,248.83269999999948,286.0
1633690037,10,GET,get_orders,1.000000,0.000000,280,1800,4900,4900,5000,5800,5800,5800,5800,5800,5800,12,0,490.0,1886.2247333333335,166.47109999999898,5795.547100000002,2.0
1633690037,10,GET,get_related,2.000000,0.000000,39,73,120,140,240,250,330,330,330,330,330,22,0,69,98.38368636363644,10.003100000000487,327.04060000000015,760.0
